4,0,9,0,0,12,0,0,0,7,0,0,2,10,5,16
12,0,0,0,0,0,8,0,0,14,0,1,0,0,6,15
8,5,15,0,0,0,16,9,2,4,3,0,0,0,0,0
0,0,0,0,15,7,0,13,0,0,0,0,14,3,0,0
1,13,11,16,0,4,7,0,15,3,9,0,0,6,0,10
9,12,5,0,0,0,0,15,7,0,2,0,0,0,0,0
10,0,0,15,16,0,0,0,0,0,0,5,3,0,9,0
0,0,4,0,0,0,13,3,0,0,0,0,0,0,7,0
0,3,0,0,0,0,0,0,5,2,0,0,0,7,0,0
0,15,0,9,12,0,0,0,0,0,0,10,5,0,0,13
0,0,0,0,0,8,0,10,9,0,0,0,0,14,3,2
5,0,14,0,0,13,9,4,0,12,7,0,15,11,16,8
0,0,6,2,0,0,0,0,14,0,11,7,0,0,0,0
0,0,0,0,0,5,6,7,4,15,0,0,0,16,13,14
16,7,0,0,14,0,4,0,0,1,0,0,0,0,0,3
15,14,8,4,0,0,12,0,0,0,6,0,0,5,0,7
