0,0,15,0,21,7,0,11,0,12,0,17,9,0,0,25,6,0,20,0,8,23,13,24,5
0,12,7,4,16,0,25,0,22,0,21,0,0,15,18,8,0,13,5,23,0,0,3,0,0
6,0,1,25,22,13,8,24,23,0,0,4,0,7,11,17,0,3,9,0,19,21,15,0,0
10,9,3,17,14,15,0,18,21,0,0,0,0,13,0,4,0,7,0,16,25,0,1,0,20
0,0,0,0,23,0,0,10,0,9,22,0,20,1,6,0,18,15,2,21,4,16,7,0,0
0,0,24,13,5,0,0,14,9,0,20,0,8,0,0,15,0,0,4,2,0,12,11,16,25
0,25,11,7,0,0,0,0,20,8,0,15,4,0,21,0,23,0,0,5,3,0,10,14,0
21,0,18,0,2,11,0,16,12,0,0,3,19,10,14,1,22,0,8,0,13,5,0,23,17
0,19,10,3,0,0,0,21,2,0,5,0,17,0,23,0,0,0,0,0,0,20,6,0,8
22,8,6,1,0,0,13,23,0,17,12,7,0,0,0,3,0,10,0,0,0,2,0,21,4
0,22,25,12,0,0,20,13,24,23,0,0,16,0,7,5,0,0,0,10,9,18,19,0,0
0,16,0,2,0,25,12,1,6,22,0,0,21,0,0,0,0,8,0,24,0,0,17,3,0
0,0,19,9,18,0,2,7,0,0,0,5,0,17,0,0,1,25,22,0,0,0,8,13,0
0,23,0,20,0,17,5,3,0,0,6,0,22,0,0,9,15,19,21,0,2,11,4,7,16
3,14,17,0,10,19,9,0,18,0,24,20,23,8,0,2,7,4,16,0,12,6,0,0,0
5,0,23,0,0,0,10,9,19,0,8,6,0,0,20,18,2,0,7,4,11,25,0,0,0
0,15,0,10,19,21,0,2,4,7,0,0,3,23,5,11,0,16,0,0,6,8,0,0,13
20,0,22,6,8,0,24,5,0,0,25,0,0,16,0,0,9,0,15,19,0,4,21,2,7
2,0,21,18,0,16,11,0,25,0,0,10,0,14,9,0,20,22,0,0,24,17,23,0,3
12,1,0,11,25,22,6,0,0,13,4,18,7,21,0,24,0,23,3,17,10,19,0,0,0
8,24,0,0,13,0,23,17,0,10,0,0,6,12,25,14,19,0,0,15,21,7,0,4,0
0,18,0,14,15,2,21,0,7,0,3,23,0,5,17,16,25,0,6,0,22,0,20,0,24
0,0,2,0,7,12,0,0,1,0,0,14,18,9,19,22,0,20,24,0,0,3,0,0,0
0,0,0,16,0,0,22,0,0,24,0,21,11,0,0,23,17,5,10,0,14,0,0,0,18
17,0,5,0,0,9,14,19,15,18,13,0,0,0,0,21,0,0,0,0,0,1,12,25,0
