0,0,12,7,20,6,21,0,0,16,25,11,22,0,17,23,13,3,18,24,0,0,19,15,0
0,0,0,0,22,19,0,0,8,0,0,0,0,6,0,9,12,7,0,20,0,0,3,13,0
16,0,0,0,4,0,0,0,24,0,5,15,0,19,0,0,11,1,0,22,20,0,0,12,2
0,0,15,0,8,7,0,9,0,0,23,13,24,3,18,0,21,6,16,0,22,25,0,11,0
0,0,13,3,24,1,11,25,22,17,9,0,20,0,2,0,15,19,0,8,0,0,6,21,0
0,8,5,15,16,0,0,20,0,7,24,23,0,0,3,0,0,21,0,17,0,0,11,25,0
0,20,9,12,0,21,0,4,0,0,22,0,0,11,1,0,23,13,3,0,0,8,0,0,19
1,0,0,11,0,0,5,8,0,19,4,10,0,21,6,20,9,12,7,0,0,0,13,23,3
0,0,0,13,14,11,25,0,0,1,20,0,18,12,0,8,0,15,19,16,0,4,21,10,6
6,4,0,0,17,13,23,0,14,0,8,5,0,15,19,22,25,0,1,2,18,20,12,0,7
0,0,14,0,15,22,2,0,12,0,3,0,13,20,0,0,0,8,5,0,0,0,4,17,10
25,7,0,22,0,8,0,6,21,0,0,0,11,0,0,0,18,0,0,0,15,0,0,0,23
9,0,18,20,13,4,17,1,0,0,7,0,12,22,0,19,14,0,23,15,0,0,0,16,5
5,6,16,8,21,0,18,0,13,9,0,14,15,24,23,0,0,4,10,11,12,7,0,2,0
0,0,0,4,11,24,0,0,15,23,6,0,21,8,0,7,2,22,25,12,13,3,20,18,9
13,14,24,23,0,0,0,0,0,11,0,20,3,9,0,0,0,5,15,6,0,0,10,4,21
15,16,8,5,6,9,0,0,3,0,0,24,0,23,0,17,4,10,21,0,0,2,25,22,0
0,0,20,9,3,10,0,17,1,21,2,22,0,0,0,0,24,0,13,19,0,16,0,8,15
0,2,22,0,0,5,8,0,6,0,17,0,0,0,21,0,20,0,12,0,19,14,23,24,13
0,0,0,0,1,23,24,14,19,0,16,8,6,0,0,0,0,25,0,7,3,0,9,0,0
22,0,7,0,9,16,0,0,10,0,11,1,25,17,4,13,0,18,20,23,0,0,0,19,0
0,0,19,0,0,2,7,0,0,0,0,3,0,18,0,0,6,16,8,10,0,11,17,1,0
4,0,0,17,25,14,0,15,5,24,21,0,0,0,8,0,7,2,22,9,23,13,0,0,20
0,0,3,0,0,0,1,0,25,0,0,0,0,2,22,0,19,14,24,0,10,0,16,6,8
0,21,0,0,0,18,3,0,23,0,0,19,0,14,0,11,0,0,4,0,0,0,2,0,22
